1004-109(L),SN,,2010-04-30 15:58:22,NIK,,,,,,"""Call user. Spoke with Idham. He informed that monitor work properly today. no rpoblem. Log allow to close.""",,Next Action Plan :,
1004-106(L),SN,,2010-04-30 15:58:30,NIK,,,,,,"""Call user. Spoke with Idham. He informed that monitor work properly today. no rpoblem. Log allow to close.""",,Next Action Plan :,
1004-106(L),SN,,2010-04-30 16:49:28,NIK,,,,,,"""Call user many times since morning. Spoke with Pn Anis. No problem occiur anymore today. Log allow to close..""",,Next Action Plan :,
1004-103(L),SN,,2010-04-30 09:21:22,NIK,,,,,,"""Call user spoke with Hidayat. He informed that for now no problem occur anymore. Log allow to close.""",,Next Action Plan :,
1004-103(L),SN,,2010-04-29 15:32:50,NIK,,,,,,"""Received call from Isyraf. Doing PM with Ashok at site. Already install printer. Work in order but sometime OFFLINE. Need to replace SCSI cable. Prepair SCSI cable to Isyraf. He will replace at site tomorrow.""",,Next Action Plan :,
1004-90(L),SN,,2010-04-29 14:30:11,NIK,,,,,,"""Received call from kak Maziah. Today one passport printed wrong. 0 printed as 6. Guide user to take the img.bmp and save in my document so that Faizal can take the image to trained it.""",,Next Action Plan :,
1004-109(L),SN,,2010-04-29 14:24:57,NIK,,,,,,"""Informed to Maria. She will prepair loan unit. and will pass to Nizam since Nizam's house near to BPKL. Nizam will sent unit to site before come to office tomorrow.""",,Next Action Plan :,
1004-109(L),SN,,2010-04-29 14:20:36,NIK,,,,,,"""Nizam back from BPKL from doing CM for log 1004-104(L). Found monitor no display. He did call Maria. Maria as to bring back the monitor. Borrow monitor from user standby unit. Will replace monitor tomorrow.""",,Next Action Plan :,
1004-106(L),SN,,2010-04-29 14:00:00,NIK,,,,,,"""Assign Azlan to be on site today.""",,Next Action Plan :,
1004-106(L),SN,,2010-04-29 13:57:07,NIK,,,,,,"""Call Pn Anis mobile. She informed that problem still happened. need further action from us.""",,Next Action Plan :,
1004-104(L),SN,,2010-04-29 14:53:15,NIK,,,,,,"""Call user. Spoke with en Idham. Confirm PC work in order. Log allow to close.""",,Next Action Plan :,
1004-104(L),SN,,2010-04-29 14:20:49,NIK,,,,,,"""Nizam and Naufal just back from site. Replace PC. Now problem resolved.""",,Next Action Plan :,
